,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,53990000.000,51524000.000,49158000.000,50182000.000,48653000.000,42491000.000,30786000.000,25345000.000,27183000.000,31635000.000,34011000.000,27583000.000,15707000.000,6817000.000,2289000.000,-4160000.000,-9569000.000,-5355000.000,-7662000.000,-6711000.000,-22370000.000,-19981000.000,-12115000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,53056000.000,52535000.000,50596000.000,50198000.000,50953000.000,48454000.000,45154000.000,46124000.000,43950000.000,37822000.000,26083000.000,20884000.000,24311000.000,28990000.000,32121000.000,25344000.000,12347000.000,3813000.000,-741000.000,-6949000.000,-12425000.000,-7265000.000,-9985000.000,-9150000.000,-25160000.000,-22276000.000,-14588000.000
AllowanceForDoubtfulAccountsReceivableCurrent,7604000.000,1443000.000,747000.000,65000.000,0.000,,,110000.000,85000.000,0.000,0.000,144000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Assets,1732116000.000,1815704000.000,1874625000.000,1860677000.000,1761269000.000,1794832000.000,1829257000.000,1988514000.000,2287003000.000,2323263000.000,2563089000.000,2557387000.000,2428601000.000,2524220000.000,2785833000.000,2705941000.000,3209556000.000,3062565000.000,2380653000.000,2331140000.000,2351015000.000,2539024000.000,2377873000.000,2194087000.000,2096908000.000,2191198000.000,2267699000.000
AssetsCurrent,879406000.000,922638000.000,1165255000.000,958459000.000,1063983000.000,1111644000.000,1158446000.000,1250612000.000,1391235000.000,1461912000.000,1265499000.000,1274163000.000,1221091000.000,1297725000.000,1414719000.000,1351610000.000,1851735000.000,1733644000.000,1067228000.000,1042084000.000,964761000.000,1152244000.000,962179000.000,792290000.000,702034000.000,800004000.000,883450000.000
AssetsFairValueDisclosure,,,,775106000.000,726510000.000,812412000.000,818200000.000,897678000.000,996258000.000,1095407000.000,861508000.000,889094000.000,775999000.000,839407000.000,936911000.000,869748000.000,1369905000.000,1227359000.000,536229000.000,520012000.000,480094000.000,601975000.000,453473000.000,331580000.000,267403000.000,413583000.000,479623000.000
AssetsFairValueDisclosureRecurring,,,785239000.000,,,,,,,,,,,,,,,,,,,,,,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,91000.000,117000.000,93000.000,127000.000,380000.000,1148000.000,770000.000,892000.000,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,,50000.000,10000.000,39000.000,72000.000,169000.000,74000.000,0.000,0.000,,,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,,,92611000.000,88587000.000,90716000.000,94689000.000,93232000.000,92470000.000,92924000.000,,,,,
AvailableForSaleSecurities,,,,,,,,,,,,96019000.000,96788000.000,97006000.000,97910000.000,94970000.000,90445000.000,92640000.000,96560000.000,95104000.000,94498000.000,96317000.000,34745000.000,8503000.000,,,
AvailableForSaleSecuritiesAmortizedCost,,,1900000.000,2000000.000,1830000.000,1846000.000,50892000.000,95524000.000,100170000.000,100738000.000,101102000.000,95690000.000,96462000.000,96840000.000,96968000.000,94428000.000,90404000.000,92533000.000,96506000.000,95049000.000,94287000.000,95243000.000,33975000.000,7611000.000,,,
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,,,,,,,49062000.000,93701000.000,98353000.000,98921000.000,99285000.000,93873000.000,94645000.000,95023000.000,93483000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,,,,,13124000.000,56437000.000,57447000.000,34718000.000,54133000.000,48949000.000,51324000.000,42803000.000,45019000.000,52401000.000,52356000.000,61860000.000,52956000.000,47058000.000,50777000.000,64587000.000,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,,,13115000.000,56485000.000,57491000.000,34777000.000,54160000.000,48983000.000,51358000.000,42823000.000,45057000.000,52423000.000,52357000.000,61899000.000,52990000.000,47091000.000,50751000.000,64600000.000,,,,,
AvailableForSaleSecuritiesDebtSecurities,,,,,,,49040000.000,93818000.000,98465000.000,99041000.000,99296000.000,93953000.000,94711000.000,95073000.000,93550000.000,92638000.000,88572000.000,90816000.000,94759000.000,93343000.000,92306000.000,92954000.000,,,,,
AvailableForSaleSecuritiesFairValueDisclosure,,,3240000.000,2946000.000,3037000.000,3287000.000,51304000.000,95819000.000,100704000.000,100992000.000,101251000.000,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,0.000,,32000.000,2000.000,11000.000,7000.000,65000.000,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,1207000.000,1441000.000,444000.000,297000.000,545000.000,261000.000,214000.000,,,,,,,,,,,,,,,,
BuildingsAndImprovementsGross,,,,,127394000.000,,,,127201000.000,,,,126512000.000,,,,126382000.000,,,,126156000.000,,,,126023000.000,,
BusinessAcquisitionContingentConsiderationAtFairValue,,,162000.000,3745000.000,3911000.000,3987000.000,3997000.000,4108000.000,4218000.000,3579000.000,3832000.000,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,,,13200000.000,,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount,,,,,,,,,,,9600000.000,9600000.000,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,,,,,,,3835000.000,4091000.000,1805000.000,1850000.000,0.000,,,,,,,,,,,
CapitalizedComputerSoftwareGross,,,,,557473000.000,,,,541180000.000,,,,462044000.000,,,,445536000.000,,,,471842000.000,,,,503543000.000,,
CashAndCashEquivalentsAtCarryingValue,557409000.000,612208000.000,665317000.000,696101000.000,601602000.000,659687000.000,661658000.000,649099000.000,726357000.000,810152000.000,577233000.000,620403000.000,536260000.000,532761000.000,557416000.000,500483000.000,932161000.000,887736000.000,647851000.000,616091000.000,616686000.000,810400000.000,669573000.000,524333000.000,465232000.000,544128000.000,655998000.000
CashAndCashEquivalentsFairValueDisclosure,,,532346000.000,564917000.000,484102000.000,529194000.000,,,,,,,,,,,,,,,,,,,,,
CashCashEquivalentsAndShortTermInvestments,,,,,,,,744918000.000,827061000.000,911144000.000,678484000.000,716422000.000,633048000.000,629767000.000,655326000.000,595453000.000,1022606000.000,980376000.000,744411000.000,711195000.000,711184000.000,906717000.000,704318000.000,532836000.000,468289000.000,547607000.000,659227000.000
CertificatesOfDepositAtCarryingValue,,,,,,,,,,,,1000000.000,2300000.000,0.000,0.000,0.000,0.000,,,,,,5302000.000,,,,
CommercialPaperAtCarryingValue,,,,,,,1200000.000,500000.000,,,,,,,,,,,,,,,1999000.000,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,,114697000.000,,,,99161000.000,,,,98156000.000,,,,81142000.000,,,,30028000.000,,,,25382000.000,,
CommonStockIncludingAdditionalPaidInCapital,,,,,,,1741869000.000,1711797000.000,1721556000.000,1727901000.000,1744261000.000,,,,,,,,,,,,,,,,
CommonStockIncludingAdditionalPaidInCapitalNetOfDiscount,1715541000.000,1716254000.000,1725660000.000,1713151000.000,1733884000.000,1735689000.000,,,,,,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.010,,,,0.010,,,,0.010,,,,0.010,,,,0.010,,,,0.010,,,,0.010,,
CommonStockSharesAuthorized,600000000.000,,,,600000000.000,,,,600000000.000,,,,600000000.000,,,,600000000.000,,,,600000000.000,,,,600000000.000,,
CommonStockSharesIssued,267116000.000,,,,272680000.000,,,,280644000.000,,,,288133000.000,,,,291584000.000,,,,309392000.000,,,,278099000.000,,
CommonStockSharesOutstanding,267116000.000,,,,272680000.000,,,,280644000.000,,,,288133000.000,,,,291584000.000,,,,309392000.000,,,,278099000.000,,
CommonStocksIncludingAdditionalPaidInCapital,,,,,,,,,,,,1739677000.000,1757242000.000,1785069000.000,1812175000.000,1820332000.000,1851427000.000,1869104000.000,1886421000.000,1853284000.000,1863086000.000,1844287000.000,1851724000.000,1801125000.000,1820081000.000,1824306000.000,1848719000.000
ConvertibleLongTermNotesPayable,406404000.000,411198000.000,128928000.000,420982000.000,131920000.000,133459000.000,135006000.000,136594000.000,0.000,,,,,,,,,,,,,,,,,,
ConvertibleNotesPayableCurrent,143258000.000,144999000.000,433857000.000,148530000.000,294061000.000,297653000.000,301292000.000,305029000.000,447011000.000,452571000.000,458179000.000,463837000.000,324826000.000,329058000.000,333333000.000,337711000.000,342499000.000,293667000.000,0.000,0.000,0.000,,,,,,
CostMethodInvestments,,,,,,,6135000.000,5054000.000,3038000.000,3038000.000,3038000.000,3038000.000,3038000.000,3038000.000,3038000.000,1081000.000,1081000.000,,,,1081000.000,,,,532000.000,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,47628000.000,42068000.000,36460000.000,30724000.000,25174000.000,20942000.000,16667000.000,12288000.000,8824000.000,3765000.000,1267000.000,1240000.000,1212000.000,7138000.000,6927000.000,6723000.000,6507000.000,6291000.000,6073000.000
DeferredCompensationPlanAssets,,,27063000.000,27572000.000,24058000.000,21986000.000,24009000.000,23561000.000,24329000.000,19302000.000,21472000.000,22339000.000,23960000.000,23786000.000,25070000.000,25425000.000,27034000.000,23365000.000,24226000.000,23605000.000,24905000.000,22597000.000,23786000.000,25657000.000,26622000.000,26449000.000,27570000.000
DeferredIncomeTaxesAndOtherAssetsNoncurrent,,,,,5232000.000,,,,171721000.000,,,,144553000.000,,,,140969000.000,,,,245651000.000,,,,256547000.000,,
DeferredIncomeTaxesAndOtherTaxReceivableCurrent,,,,,11926000.000,,,,58542000.000,,,,91631000.000,,,,94457000.000,,,,0.000,,,,,,
DeferredRevenueCurrent,337426000.000,340015000.000,362762000.000,360580000.000,340401000.000,312238000.000,328405000.000,322260000.000,295787000.000,285553000.000,282784000.000,297897000.000,299973000.000,304705000.000,301911000.000,300188000.000,301287000.000,324448000.000,324569000.000,315220000.000,298285000.000,322684000.000,289786000.000,288373000.000,296066000.000,331848000.000,322509000.000
DeferredRevenueNoncurrent,85400000.000,100064000.000,91360000.000,88039000.000,73959000.000,62634000.000,58213000.000,58436000.000,50529000.000,41432000.000,43892000.000,48229000.000,52850000.000,48299000.000,46800000.000,42873000.000,54726000.000,48418000.000,36402000.000,31234000.000,30209000.000,38447000.000,38094000.000,36338000.000,66769000.000,66399000.000,60158000.000
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,,,,,,,,,,,,,,,,20552000.000,,,,20580000.000,,
DeferredTaxAssetsDeferredIncome,,,,,17840000.000,,,,27237000.000,,,,25420000.000,,,,19534000.000,,,,16407000.000,,,,14842000.000,,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,,,,,,,,,,,,,,29256000.000,,,,23335000.000,,
DeferredTaxAssetsGross,,,,,458666000.000,,,,386660000.000,,,,408027000.000,,,,423935000.000,,,,409368000.000,,,,409719000.000,,
DeferredTaxAssetsInProcessResearchAndDevelopment,,,,,40510000.000,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsInvestments,,,,,,,,,7550000.000,,,,7643000.000,,,,6825000.000,,,,7113000.000,,,,6442000.000,,
DeferredTaxAssetsLiabilitiesNet,,,,,3640000.000,,,,228173000.000,,,,229044000.000,,,,234520000.000,,,,245448000.000,,,,256500000.000,,
DeferredTaxAssetsNet,,,,,82802000.000,,,,312337000.000,,,,315350000.000,,,,321193000.000,,,,317691000.000,,,,316799000.000,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,56330000.000,,,,24429000.000,,,,27205000.000,,,,25285000.000,,,,25208000.000,,,,23175000.000,,
DeferredTaxAssetsOther,,,,,10781000.000,,,,4185000.000,,,,4911000.000,,,,1332000.000,,,,0.000,,,,26526000.000,,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,133829000.000,,,,129724000.000,,,,159839000.000,,,,180127000.000,,,,189672000.000,,,,180999000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,,,,,,,,,,,,,,,,,,,,,8100000.000,,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,20661000.000,,,,20012000.000,,,,20652000.000,,,,20009000.000,,,,17612000.000,,,,20087000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,77325000.000,,,,50960000.000,,,,49450000.000,,,,65935000.000,,,,54774000.000,,,,62438000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,,,,,,,,,34046000.000,,,,33742000.000,,,,33552000.000,,,,26332000.000,,,,19093000.000,,
DeferredTaxAssetsValuationAllowance,,,,,375864000.000,,,,74323000.000,,,,92677000.000,,,,102742000.000,,,,91677000.000,,,,92920000.000,,
DeferredTaxLiabilities,,,,,79162000.000,,,,84164000.000,,,,86306000.000,,,,86673000.000,,,,72243000.000,,,,60299000.000,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,-66878000.000,,,,70086000.000,,,,66775000.000,,,,57040000.000,,,,45697000.000,,,,35651000.000,,
DeferredTaxLiabilitiesOther,,,,,-6700000.000,,,,965000.000,,,,2230000.000,,,,1607000.000,,,,1390000.000,,,,119000.000,,
DeferredTaxLiabilitiesTaxDeferredIncome,,,,,0.000,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,,,-5584000.000,,,,13113000.000,,,,17301000.000,,,,28026000.000,,,,25156000.000,,,,24529000.000,,
DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiability,,,,,83500000.000,,,,55800000.000,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries,,,,,,,,,,,,,51200000.000,,,,,,,,,,,,,,
DefinedBenefitPlanBenefitObligation,,,,,8900000.000,,,,9400000.000,,,,7160000.000,,,,6794000.000,,,,6131000.000,,,,6164000.000,,
DerivativeFairValueOfDerivativeAsset,,,,179658000.000,215113000.000,257775000.000,219199000.000,287079000.000,303154000.000,315895000.000,335131000.000,292511000.000,306817000.000,369731000.000,455844000.000,452498000.000,523930000.000,429847000.000,,,,,,,,,
DerivativeFairValueOfDerivativeLiability,,,,179658000.000,215113000.000,257775000.000,219199000.000,287079000.000,303154000.000,315895000.000,335131000.000,292511000.000,306817000.000,369731000.000,455844000.000,452498000.000,523930000.000,429847000.000,,,,,,,,,
DerivativeFinancialInstrumentsLiabilitiesFairValueDisclosure,,,222085000.000,,,,,,,,,,,,,,,,,,,,,,,,
DerivativeLiabilitiesCurrent,,,222085000.000,,215113000.000,257775000.000,219199000.000,287079000.000,303154000.000,315895000.000,335131000.000,292511000.000,306817000.000,369731000.000,455844000.000,452498000.000,523930000.000,429847000.000,0.000,0.000,0.000,,,,,,
DerivativeLiabilitiesNoncurrent,,,0.000,179658000.000,0.000,,,,,,,,,,,,,,,,,,,,,,
EmployeeRelatedLiabilitiesCurrent,,,,,,,,,,,,,145047000.000,,,,151526000.000,,,,155592000.000,,,,174936000.000,,
EntityWideDisclosureOnGeographicAreasLongLivedAssetsInEntitysCountryOfDomicile,,,238637000.000,232719000.000,230884000.000,226619000.000,222232000.000,215656000.000,214711000.000,209006000.000,211521000.000,,,,,,,,,,,,,,,,
EquityMethodInvestments,,,,,,,4320000.000,4283000.000,4249000.000,3932000.000,3708000.000,3648000.000,3639000.000,5163000.000,5570000.000,5091000.000,5058000.000,,,,2836000.000,,,,2634000.000,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,69971000.000,77436000.000,84725000.000,91542000.000,82530000.000,89572000.000,97746000.000,104351000.000,104822000.000,115406000.000,128004000.000,139820000.000,107521000.000,121797000.000,137960000.000,154814000.000,169013000.000,185382000.000,200954000.000,216589000.000,224474000.000,239170000.000,253562000.000,267723000.000,254949000.000,269859000.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,,,63644000.000,82710000.000,59451000.000,59427000.000,129342000.000,128328000.000,89968000.000,97395000.000,131470000.000,134283000.000,93307000.000,93306000.000,93302000.000,93296000.000,56074000.000,56073000.000,65273000.000,65276000.000,29728000.000,29728000.000,29724000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,,27914000.000,,,,49525000.000,,,,64228000.000,,,,57450000.000,,,,56024000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,,13186000.000,7764000.000,,20395000.000,24531000.000,12446000.000,,38792000.000,32522000.000,16452000.000,,47804000.000,31600000.000,15783000.000,,42616000.000,28966000.000,14478000.000,,41615000.000,27231000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,19562000.000,24309000.000,23257000.000,23260000.000,40236000.000,40060000.000,36803000.000,38609000.000,48059000.000,48813000.000,42935000.000,42939000.000,42935000.000,42927000.000,37944000.000,37868000.000,40035000.000,40036000.000,35546000.000,35546000.000,35484000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,20001000.000,24831000.000,24307000.000,24348000.000,43854000.000,43666000.000,39654000.000,41550000.000,51695000.000,52421000.000,48936000.000,48925000.000,48944000.000,48922000.000,43132000.000,43106000.000,45241000.000,45243000.000,40034000.000,40039000.000,39976000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,20315000.000,25178000.000,24831000.000,25057000.000,49590000.000,49378000.000,43261000.000,45360000.000,56646000.000,57383000.000,52610000.000,52584000.000,52627000.000,52596000.000,49112000.000,50157000.000,52280000.000,52273000.000,45238000.000,45250000.000,45185000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,23099000.000,27976000.000,25178000.000,25404000.000,50152000.000,49929000.000,48972000.000,51220000.000,63522000.000,64259000.000,57316000.000,57292000.000,57330000.000,57281000.000,52770000.000,54005000.000,56093000.000,56075000.000,52244000.000,52267000.000,52183000.000
FiniteLivedIntangibleAssetsGross,,,256002000.000,264770000.000,264776000.000,249058000.000,249379000.000,290514000.000,289289000.000,282713000.000,453111000.000,451811000.000,448003000.000,420447000.000,505711000.000,511571000.000,514146000.000,511863000.000,512120000.000,511759000.000,513071000.000,508299000.000,527058000.000,526943000.000,526537000.000,499394000.000,499642000.000
FiniteLivedIntangibleAssetsNet,179198000.000,172345000.000,178566000.000,180045000.000,173234000.000,166528000.000,159807000.000,192768000.000,184938000.000,177891000.000,337705000.000,323807000.000,308183000.000,312926000.000,383914000.000,373611000.000,359332000.000,342850000.000,326738000.000,310805000.000,296482000.000,283825000.000,287888000.000,273381000.000,258814000.000,244445000.000,229783000.000
ForeignCurrencyContractAssetFairValueDisclosure,,,490000.000,,200000.000,170000.000,942000.000,778000.000,1737000.000,,,1662000.000,262000.000,,471000.000,,,3081000.000,,,,2914000.000,,349000.000,,2450000.000,934000.000
ForeignCurrencyContractsLiabilityFairValueDisclosure,,,,1111000.000,,,,,,477000.000,1498000.000,,,367000.000,,1730000.000,3163000.000,,536000.000,768000.000,362000.000,,,,2653000.000,,
FurnitureAndFixturesGross,,,,,43418000.000,,,,21961000.000,,,,23026000.000,,,,22424000.000,,,,21847000.000,,,,23580000.000,,
FutureMinimumSubleaseRentalsSaleLeasebackTransactions,,,,,-2233000.000,,,,,,,,,,,,,,,,,,,,,,
FutureMinimumSubleaseRentalsSaleLeasebackTransactionsThereafter,,,,,-51000.000,,,,,,,,,,,,,,,,,,,,,,
FutureMinimumSubleaseRentalsSaleLeasebackTransactionsWithinFiveYears,,,,,-123000.000,,,,,,,,,,,,,,,,,,,,,,
FutureMinimumSubleaseRentalsSaleLeasebackTransactionsWithinFourYears,,,,,-331000.000,,,,,,,,,,,,,,,,,,,,,,
FutureMinimumSubleaseRentalsSaleLeasebackTransactionsWithinOneYear,,,,,-748000.000,,,,,,,,,,,,,,,,,,,,,,
FutureMinimumSubleaseRentalsSaleLeasebackTransactionsWithinThreeYears,,,,,-475000.000,,,,,,,,,,,,,,,,,,,,,,
FutureMinimumSubleaseRentalsSaleLeasebackTransactionsWithinTwoYears,,,,,-505000.000,,,,,,,,,,,,,,,,,,,,,,
Goodwill,158893000.000,159081000.000,173752000.000,192153000.000,192125000.000,192445000.000,192238000.000,233275000.000,233266000.000,232608000.000,457556000.000,456267000.000,456905000.000,478990000.000,559957000.000,557252000.000,553767000.000,553942000.000,553831000.000,552411000.000,551772000.000,551897000.000,573714000.000,573890000.000,572764000.000,574545000.000,575025000.000
HedgingAssetsCurrent,,,222085000.000,,215113000.000,257775000.000,219199000.000,287079000.000,303154000.000,315895000.000,335131000.000,292511000.000,306817000.000,369731000.000,455844000.000,452498000.000,523930000.000,429847000.000,0.000,0.000,0.000,,,,,,
HedgingAssetsNoncurrent,,,0.000,179658000.000,0.000,,,,,,,,,,,,,,,,,,,,,,
IncomeTaxExaminationInterestAccrued,,,,,35368000.000,,,,24427000.000,,3096000.000,52000.000,37000.000,,,,1155000.000,,,,1128000.000,,,,1332000.000,,
IncomeTaxExaminationPenaltiesAccrued,,,,,11574000.000,,,,8953000.000,,1964000.000,1255000.000,1227000.000,,,,446000.000,,,,270000.000,,,,265000.000,,
IndefiniteLivedIntangibleAssetsExcludingGoodwill,,,,,,,,,,,10380000.000,3996000.000,3510000.000,3572000.000,11516000.000,5216000.000,1600000.000,1600000.000,1600000.000,1600000.000,,,,,,,
IntangibleAssetsGrossExcludingGoodwill,,,,,,,,,,,,,451513000.000,424019000.000,517227000.000,516787000.000,515746000.000,513463000.000,513720000.000,513359000.000,,,,,,,
IntangibleAssetsNetExcludingGoodwill,,,,,,,,,,,,,311693000.000,316498000.000,395430000.000,378827000.000,360932000.000,344450000.000,328338000.000,312405000.000,296482000.000,283825000.000,287888000.000,273381000.000,258814000.000,244445000.000,229783000.000
InventoryFinishedGoods,,,,,18996000.000,,,,12509000.000,,,,19666000.000,,,,13966000.000,,,,16263000.000,,,,12886000.000,,
InventoryNet,39034000.000,43050000.000,44391000.000,47056000.000,43243000.000,41720000.000,41066000.000,34629000.000,36163000.000,37016000.000,38705000.000,45877000.000,50220000.000,55605000.000,58311000.000,61096000.000,56394000.000,54450000.000,62172000.000,57690000.000,56762000.000,56634000.000,61932000.000,64476000.000,39475000.000,30734000.000,31894000.000
InventoryRawMaterials,,,,,24247000.000,,,,23654000.000,,,,30554000.000,,,,42428000.000,,,,40499000.000,,,,26589000.000,,
Land,,,,,61208000.000,,,,61236000.000,,,,55980000.000,,,,55926000.000,,,,55898000.000,,,,55785000.000,,
LiabilitiesAndStockholdersEquity,1732116000.000,1815704000.000,1874625000.000,1860677000.000,1761269000.000,1794832000.000,1829257000.000,1988514000.000,2287003000.000,2323263000.000,2563089000.000,2557387000.000,2428601000.000,2524220000.000,2785833000.000,2705941000.000,3209556000.000,3062565000.000,2380653000.000,2331140000.000,2351015000.000,2539024000.000,2377873000.000,2194087000.000,2096908000.000,2191198000.000,2267699000.000
LiabilitiesCurrent,697548000.000,673662000.000,1184402000.000,649532000.000,1015366000.000,1011426000.000,1002853000.000,1074618000.000,1217270000.000,1210625000.000,1361903000.000,1297690000.000,1148210000.000,1192694000.000,1408047000.000,1296044000.000,1393091000.000,1226436000.000,527363000.000,509647000.000,536307000.000,567900000.000,564471000.000,531321000.000,585562000.000,575826000.000,544725000.000
LiabilitiesFairValueDisclosure,,,222247000.000,184514000.000,219024000.000,261762000.000,223196000.000,291187000.000,307372000.000,319951000.000,340461000.000,296346000.000,310908000.000,371903000.000,457694000.000,454228000.000,527093000.000,429847000.000,536000.000,768000.000,362000.000,,,,,,
LiabilitiesNoncurrent,757914000.000,844336000.000,358907000.000,834549000.000,334773000.000,322654000.000,324391000.000,325508000.000,154562000.000,92965000.000,160926000.000,163491000.000,124286000.000,117324000.000,117302000.000,125170000.000,482891000.000,472939000.000,456075000.000,436931000.000,438593000.000,737072000.000,738009000.000,735970000.000,769576000.000,774780000.000,771181000.000
LineOfCredit,,,,,,,,,,,,,,,,,,,,,,50000000.000,50000000.000,,,,
LineOfCreditFacilityAmountOutstanding,,,,,,,,,,,100000000.000,50000000.000,,,100000000.000,,,,,,,,,,,,
