,2011-01-02,2011-04-03,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02,2017-07-02
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,2256000.000,2554000.000,2681000.000,2936000.000,2936000.000,2937000.000,2936000.000,2936000.000,2936000.000,6581000.000,6581000.000,6680000.000,6582000.000,599000.000,599000.000,600000.000,599000.000,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,2256000.000,2554000.000,2681000.000,2937000.000,2936000.000,2936000.000,2936000.000,2936000.000,2936000.000,2936000.000,2936000.000,3330000.000,2937000.000,6633000.000,6583000.000,6580000.000,6582000.000,599000.000,,,,,,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,5331000.000,3659000.000,,,,,,,,,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,1096000.000,1153000.000,1126000.000,1150000.000,1050000.000,955000.000,863000.000,779000.000,700000.000,618000.000,542000.000,471000.000,403000.000,340000.000,280000.000,225000.000,174000.000,125000.000,,,,,,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,13823000.000,15276000.000,15452000.000,16309000.000,15674000.000,15035000.000,14391000.000,13746000.000,13142000.000,12434000.000,11828000.000,11854000.000,10500000.000,10332000.000,9156000.000,8476000.000,7792000.000,7189000.000,,,,,,
CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,,,,,,,,,,,,,,2254000.000,1521000.000,785000.000,,,,,,,
CashAndCashEquivalentsAtCarryingValue,263183000.000,119598000.000,280153000.000,64260000.000,99717000.000,61284000.000,118262000.000,162329000.000,63203000.000,57219000.000,70617000.000,76550000.000,86009000.000,103644000.000,101434000.000,105084000.000,103736000.000,147581000.000,124140000.000,193759000.000,226690000.000,86091000.000,188333000.000,86656000.000,120172000.000,121500000.000,108771000.000
CashAndCashEquivalentsFairValueDisclosure,,,,,79292000.000,18712000.000,50097000.000,100632000.000,24187000.000,30526000.000,14146000.000,9253000.000,29719000.000,20249000.000,9822000.000,2472000.000,7665000.000,4181000.000,1981000.000,94000.000,119000.000,126000.000,116000.000,103000.000,287000.000,306000.000,362000.000
CashCashEquivalentsAndShortTermInvestments,434261000.000,,,,,,,,,,,,,,,,,,,,,,,,,,
CommitmentsAndContingencies,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,0.000,0.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000,650000000.000
CommonStockSharesIssued,259394000.000,268231000.000,273556000.000,275934000.000,278812000.000,282398000.000,283726000.000,285186000.000,286903000.000,289959000.000,291074000.000,293946000.000,296346000.000,300119000.000,301454000.000,304336000.000,306167000.000,474175000.000,478066000.000,479570000.000,481912000.000,485007000.000,494273000.000,495264000.000,497055000.000,502809000.000,505069000.000
CommonStockSharesOutstanding,170753000.000,171232000.000,171241000.000,155268000.000,154174000.000,151690000.000,151494000.000,145669000.000,144224000.000,146866000.000,147972000.000,150834000.000,153172000.000,156931000.000,158299000.000,161178000.000,163013000.000,331015000.000,334088000.000,335590000.000,332276000.000,311547000.000,320809000.000,321799000.000,323583000.000,329321000.000,331578000.000
CommonStockValue,2594000.000,2682000.000,2735000.000,2759000.000,2780000.000,2792000.000,2837000.000,2851000.000,2868000.000,2899000.000,2911000.000,2939000.000,2963000.000,3001000.000,3015000.000,3027000.000,3039000.000,4658000.000,4704000.000,4719000.000,4637000.000,4638000.000,4721000.000,4732000.000,4737000.000,4751000.000,4764000.000
CostMethodInvestments,,,,,,8400000.000,8400000.000,7200000.000,6000000.000,6900000.000,10400000.000,10400000.000,18000000.000,19100000.000,27100000.000,28200000.000,5900000.000,28900000.000,32500000.000,,9200000.000,,,,,,
CustomerAdvancesCurrent,,,,,,,,,,13251000.000,1000.000,0.000,0.000,,,,1250000.000,,,,,,,,,,
DebtAndCapitalLeaseObligations,,,,,,,,,,,,,,,,,,,,,688265000.000,766254000.000,833800000.000,1222056000.000,1225131000.000,1201742000.000,1198851000.000
DebtInstrumentFaceAmount,,,,,14100000.000,,,,,,,,,,,,,,,,,,,,,,
DeferredCompensationLiabilityCurrent,,,32591000.000,29660000.000,32485000.000,35049000.000,34480000.000,36114000.000,36244000.000,37890000.000,37866000.000,40202000.000,41582000.000,42200000.000,43753000.000,44225000.000,43452000.000,44215000.000,44523000.000,40899000.000,41457000.000,40443000.000,40941000.000,45738000.000,46359000.000,44120000.000,45774000.000
DeferredCompensationPlanAssets,,,33033000.000,29970000.000,32976000.000,35443000.000,34910000.000,36460000.000,37142000.000,38090000.000,38751000.000,40467000.000,42351000.000,42141000.000,43543000.000,43907000.000,44116000.000,43733000.000,44050000.000,40703000.000,41249000.000,39573000.000,40030000.000,44722000.000,45574000.000,42650000.000,44448000.000
DeferredGainOnSaleOfProperty,,,,,,,,,,,,,,,,,,59985000.000,60220000.000,,,,,,,,
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,,,,,,,293455000.000,,,,232822000.000,,
DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,,,41834000.000,41809000.000,38610000.000,40381000.000,39023000.000,39140000.000,40928000.000,38902000.000,27432000.000,25770000.000,26831000.000,21177000.000,20818000.000,19018000.000,18784000.000,43111000.000,54083000.000,57855000.000,51737000.000,53710000.000,45950000.000,47311000.000,44934000.000,48419000.000,50157000.000
DeferredRevenueAndCreditsCurrent,,,,,,127462000.000,148570000.000,169551000.000,131192000.000,167411000.000,158409000.000,137958000.000,122578000.000,141669000.000,138755000.000,134726000.000,95187000.000,128464000.000,133654000.000,,,,,,,,
DeferredRevenueCurrent,131757000.000,178181000.000,,,,,,,,,,,,,,,,,,64257000.000,73370000.000,56250000.000,19052000.000,14888000.000,0.000,,
DeferredTaxAssetsDeferredIncome,,,,,6880000.000,,,,7782000.000,,,,6723000.000,,,,6197000.000,,,,20059000.000,,,,26457000.000,,
DeferredTaxAssetsGross,,,,,329521000.000,,,,309932000.000,,,,336968000.000,,,,360594000.000,,,,817412000.000,,,,689836000.000,,
DeferredTaxAssetsGrossCurrent,,,,,,,,,,,,,,,,,,,14062000.000,19241000.000,,,,,,,
DeferredTaxAssetsGrossNoncurrent,,,,,,,,,,,,,,,,,,,,1189000.000,4080000.000,4147000.000,4199000.000,4083000.000,4463000.000,4437000.000,4359000.000
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,1661000.000,,,,1948000.000,,,,2170000.000,,,,,,,,,,
DeferredTaxAssetsNet,,,,,2018000.000,,,,2733000.000,,,,2297000.000,,,,2170000.000,,,,292391000.000,,,,231162000.000,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,234968000.000,,,,195638000.000,,,,259613000.000,,,,265827000.000,,,,624086000.000,,,,493879000.000,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,32892000.000,,,,12463000.000,,,,35886000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,55600000.000,,,,71775000.000,,,,39525000.000,,,,55678000.000,,,,160804000.000,,,,133614000.000,,
DeferredTaxAssetsValuationAllowance,,,,,327503000.000,,,,307199000.000,,,,334671000.000,,,,358424000.000,,,,525021000.000,,,,458674000.000,,
DeferredTaxLiabilities,,,41618000.000,41593000.000,2018000.000,,,,1072000.000,,,,349000.000,,,,0.000,,,,1064000.000,,,,1660000.000,,
DeferredTaxLiabilitiesCurrent,,,216000.000,216000.000,,,,,,,,,,,,,,18484000.000,,,,,,,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,2018000.000,,,,1072000.000,,,,349000.000,,,,0.000,,,,108784000.000,,,,71960000.000,,
DeferredTaxLiabilitiesGrossNoncurrent,,,,,,,38911000.000,39029000.000,40928000.000,38902000.000,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesNoncurrent,53830000.000,55818000.000,,,165000.000,112000.000,112000.000,111000.000,,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,,,207500000.000,,,,246300000.000,,,,242000000.000,,,,298600000.000,,,,184671000.000,,,,160862000.000,,
DefinedBenefitPensionPlanLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,,16095000.000,13519000.000,13473000.000,8712000.000,9063000.000,4935000.000,4277000.000,6378000.000,14631000.000,16330000.000
DefinedBenefitPlanBenefitObligation,,,,,,35000000.000,34500000.000,36100000.000,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanFairValueOfPlanAssets,,,,,2800000.000,35400000.000,34900000.000,36500000.000,3300000.000,,,,3400000.000,,,,3400000.000,,,,3300000.000,,,,3200000.000,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation,,,,,5600000.000,,,,8000000.000,,,,8300000.000,,,,9000000.000,,,,8400000.000,,,,9700000.000,,
DerivativeAssetsCurrent,,,,,,,,,,,,,,,,,,,,,,,11317000.000,5601000.000,6605000.000,5425000.000,3794000.000
DerivativeLiabilitiesCurrent,,,,,,,,,,,,,,,,,,,,,,,10358000.000,4696000.000,15582000.000,10294000.000,8004000.000
DisposalGroupIncludingDiscontinuedOperationAccountsNotesAndLoansReceivableNet,,,,,,,,,,,,,,,,,,,,,,,,10000000.000,10000000.000,3491000.000,3491000.000
DisposalGroupIncludingDiscontinuedOperationAccountsPayable,,,1508000.000,1508000.000,1508000.000,,,,,,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationAccruedIncomeTaxesPayable,,,1129000.000,1129000.000,1129000.000,,,,,,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationDeferredRevenueCurrent,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,
DisposalGroupIncludingDiscontinuedOperationInventory,,,3617000.000,3617000.000,3617000.000,,,,,,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOtherCurrentLiabilities,,,3416000.000,3416000.000,3416000.000,,,,,,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOtherNoncurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,
DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipmentNet,,,1178000.000,1178000.000,1178000.000,,,,,,,,,,,,,,,,,,,,,,
DividendsPayableAmount,,,15262000.000,13810000.000,13786000.000,,,,,,,,,,,,,,,,,,,,,,
DividendsPayableCurrent,,,,,,,,,15847000.000,16138000.000,16258000.000,16578000.000,16850000.000,17263000.000,17412000.000,17727000.000,17931000.000,36382000.000,36718000.000,36884000.000,36520000.000,34270000.000,35240000.000,35350000.000,35506000.000,36217000.000,36325000.000
DividendsPayableCurrentAndNoncurrent,,,,,13786000.000,16713000.000,16661000.000,16057000.000,15847000.000,16138000.000,,,16850000.000,,,17727000.000,17931000.000,36382000.000,36718000.000,36884000.000,36549000.000,,,,35506000.000,,
DueFromRelatedParties,,,,,,,,,,,,,,,,,,,,,,,,,2900000.000,,
DueToRelatedPartiesCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,,,,,,,,200000.000,,
EmployeeRelatedLiabilitiesCurrent,43292000.000,44812000.000,44128000.000,51913000.000,41679000.000,41881000.000,44620000.000,42282000.000,38190000.000,41788000.000,44841000.000,45103000.000,38972000.000,37053000.000,40797000.000,36310000.000,35182000.000,101921000.000,75322000.000,75004000.000,54850000.000,54318000.000,57390000.000,57577000.000,60552000.000,63125000.000,68512000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,112000000.000,86892000.000,76214000.000,81706000.000,74676000.000,59139000.000,44767000.000,75040000.000,84506000.000,64991000.000,159931000.000,34176000.000,49913000.000,43017000.000,41948000.000,89327000.000,296088000.000,121181000.000,103082000.000,81162000.000,68200000.000,117188000.000,82453000.000,132999000.000,116469000.000
EquityMethodInvestmentAggregateCost,,,,,,,,,,,,,,,,,,35500000.000,40500000.000,46500000.000,41300000.000,61500000.000,68500000.000,74500000.000,,,
EquityMethodInvestmentOwnershipPercentage,,,,,,,,,,,,,,0.203,0.249,0.262,0.262,0.299,0.323,0.349,0.387,0.403,0.425,0.448,,,
EquityMethodInvestments,,,,,,,,,,,,,,,,,20500000.000,,,36700000.000,41300000.000,55100000.000,59500000.000,203800000.000,,189210000.000,184375000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,,,,,,19065000.000,,,,,,,,,,,,,,,,,,,,,
FinancialLiabilitiesFairValueDisclosure,,,,,,,,,,,,,,,,,,,,,42740000.000,46903000.000,51299000.000,50434000.000,61941000.000,54414000.000,53778000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,94957000.000,95885000.000,97156000.000,98426000.000,99696000.000,100893000.000,112605000.000,114844000.000,117080000.000,119344000.000,121368000.000,123314000.000,125227000.000,127022000.000,128378000.000,135773000.000,171752000.000,202632000.000,236645000.000,272202000.000,304577000.000,359491000.000,303886000.000,352200000.000,403019000.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,,,,,,,15413000.000,15413000.000,,,,,,163867000.000,133068000.000,135273000.000,138319000.000,55408000.000,55502000.000,66541000.000,,39097000.000,39268000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,2643000.000,2148000.000,1176000.000,12044000.000,,,,7104000.000,,,,5643000.000,,,,123968000.000,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,,,,,10928000.000,4974000.000,2448000.000,,5168000.000,3261000.000,1411000.000,,67392000.000,65250000.000,31376000.000,,98157000.000,65820000.000,47875000.000,,144109000.000,98150000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,,,,5772000.000,5772000.000,,,,,,103503000.000,103740000.000,107055000.000,,85554000.000,85886000.000,107760000.000,,29295000.000,30912000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,,,,,5772000.000,5772000.000,5221000.000,5221000.000,5221000.000,5221000.000,5221000.000,110731000.000,110968000.000,114283000.000,111249000.000,120737000.000,121212000.000,161578000.000,,119916000.000,124073000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,877000.000,503000.000,528000.000,,,5772000.000,5772000.000,5221000.000,5221000.000,5221000.000,5246000.000,5221000.000,113220000.000,113457000.000,116772000.000,118477000.000,127965000.000,128440000.000,169316000.000,,180091000.000,183994000.000
