SEC ID,Latest Name,Previous Names (@@@ separator),Latest NAICS Industry Sector Name,Latest NAICS Industry Sector Code,Previous NAICS Industry Sector Names (@@@ separator),Previous NAICS Industry Sector Codes (@@@ separator),Latest SIC Industry Code,Previous SIC Industry Codes (@@@ separator)
1003509,American Express Credit Account Master Trust,,Finance and Insurance,52,,,6189,
1003642,Impax Laboratories Inc,,Manufacturing,32,,,2834,
100378,Twin Disc Inc,,Manufacturing,33,,,3560,
1003815,Bctc IV Assignor Corp,,Real Estate and Rental and Leasing,53,,,6513,
1003950,Performance Technologies Inc \DE\,,Manufacturing,33,,,3576,
1003961,Patapsco Bancorp Inc,,Finance and Insurance,52,,,6035,
1003986,Taylor Calvin B Bankshares Inc,,Finance and Insurance,52,,,6022,
1004036,Tanger Properties LTD Partnership /NC/,,Finance and Insurance,52,,,6798,
100412,250 West 57th ST Associates L.L.C.,,"Arts, Entertainment, and Recreation",71,,,6512,
1004125,KSW Inc,,Wholesale Trade,42,,,5070,
1004155,Southern CO GAS,AGL Resources Inc,Utilities,22,,,4924,
1004158,GS Mortgage Securities Corp II,,Finance and Insurance,52,,,6189,
1004411,Gilla Inc.,,Manufacturing,31,"Mining, Quarrying, and Oil and Gas Extraction",21,2100,1040
1004434,"Affiliated Managers Group, Inc.",Affiliated Managers Group Inc,Finance and Insurance,52,,,6282,
1004440,Constellation Energy Group Inc,,Utilities,22,,,4911,
1004608,Pinnacle Data Systems Inc,,"Professional, Scientific, and Technical Services",54,,,7371,
1004673,Entertainment Gaming Asia Inc.,,Manufacturing,33,,,3990,
1004702,Oceanfirst Financial Corp,,Finance and Insurance,52,,,6035,
1004724,"Adcare Health Systems, Inc",Adcare Health Systems Inc,Health Care and Social Assistance,62,,,8051,
10048,Barnwell Industries Inc,,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1311,
100493,Tyson Foods Inc,,Manufacturing,31,,,2015,
1004980,Pg&E Corp,,Utilities,22,,,4931,
1004988,Chase Credit Card Master Trust,,Finance and Insurance,52,,,6189,
1004989,Spar Group Inc,,Other Services (except Public Administration),81,,,7389,
1005010,Arthrocare Corp,,Manufacturing,33,,,3845,
1005101,Concierge Technologies Inc,,Other Services (except Public Administration),81,,,7389,
100517,"United Continental Holdings, Inc.",,Transportation and Warehousing,48,,,4512,
1005177,ML Trend-Following Futures Fund L.P.,,Finance and Insurance,52,,,6221,
1005188,North Central Bancshares Inc,,Finance and Insurance,52,,,6035,
1005201,Depomed Inc,,Manufacturing,32,,,2834,
1005210,Suburban Propane Partners LP,,Retail Trade,45,,,5900,
1005214,American Wagering Inc,,"Arts, Entertainment, and Recreation",71,,,7990,
1005229,Columbus Mckinnon Corp,,Manufacturing,33,,,3531,
1005276,Mohegan Tribal Gaming Authority,,Accommodation and Food Services,72,"Arts, Entertainment, and Recreation",71,7011,7997
1005284,Universal Display Corp \PA\,,Manufacturing,33,,,3670,
1005286,Landec Corp \CA\,,Manufacturing,32,,,2821,
1005409,Dime Community Bancshares Inc,,Finance and Insurance,52,,,6035,
1005414,Toys R US Inc,,Retail Trade,45,,,5945,
100548,UGI Utilities Inc,,Utilities,22,,,4932,
1005663,"Euro Group OF Companies, Inc.",,Retail Trade,45,,,5990,
1005699,Magicjack Vocaltec LTD,,Information,51,,,4813,
1005731,IDT Corp,,Information,51,,,4813,
1005757,CSG Systems International Inc,,Information,51,,,7374,
1005758,"Radioio, Inc.","IO World Media, Inc",Other Services (except Public Administration),81,,,4899,
1005817,Tompkins Financial Corp,,Finance and Insurance,52,,,6022,
100591,Argan Inc,,Construction,23,,,1700,
1006028,"Pure Bioscience, Inc.",Pure Bioscience,Manufacturing,32,,,2890,
1006045,Iridex Corp,,Manufacturing,33,,,3845,
1006177,FFD Financial Corp/Oh,,Finance and Insurance,52,,,6035,
100625,Sierra Monitor Corp /CA/,,Manufacturing,33,,,3829,
1006269,Loral Space & Communications Inc.,,Manufacturing,33,,,3663,
1006281,"Protalix Biotherapeutics, Inc.",,Manufacturing,32,,,2836,
1006424,"Bear State Financial, Inc.",First Federal Bancshares OF Arkansas Inc,Finance and Insurance,52,,,6022,6021@@@6035
1006459,Timios National Corp,Homeland Security Capital Corp,Other Services (except Public Administration),81,Construction,23,6531,1520
1006655,Evolution Petroleum Corp,,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1311,
1006820,Northern California Bancorp Inc,,Finance and Insurance,52,,,6022,
1006830,Consumers Bancorp Inc /OH/,,Finance and Insurance,52,,,6021,6036
1006837,"HC2 Holdings, Inc.","Primus Telecommunications Group Inc@@@Ptgi Holding, Inc.",Manufacturing,33,Information,51,3440,4813
1006840,"Zhongchai Machinery, Inc.",,Wholesale Trade,42,,,5010,
1006892,JDA Software Group Inc,,"Professional, Scientific, and Technical Services",54,,,7371,
1007019,Coffee Holding CO Inc,,Wholesale Trade,42,Manufacturing,31,5140,2080
100716,Unico American Corp,,Finance and Insurance,52,,,6331,
100726,Unifi Inc,,Manufacturing,31,,,2200,
1007273,Bank OF South Carolina Corp,,Finance and Insurance,52,,,6022,
1007330,"Prgx Global, Inc.",,"Professional, Scientific, and Technical Services",54,,,8700,
1007587,KVH Industries Inc \DE\,,Manufacturing,33,,,3663,
100790,Union Carbide Corp /NEW/,,Manufacturing,32,,,2860,
100826,Union Electric CO,,Utilities,22,,,4911,
1008579,Highlands Bankshares Inc /VA/,,Finance and Insurance,52,,,6022,
1008586,Streamline Health Solutions Inc.,,"Professional, Scientific, and Technical Services",54,,,7373,
1008654,Tupperware Brands Corp,,Manufacturing,33,,,3089,
1008817,Sapient Corp,,"Professional, Scientific, and Technical Services",54,,,7373,
1008848,Acorda Therapeutics Inc,,Manufacturing,32,,,2836,
100885,Union Pacific Corp,,Transportation and Warehousing,48,,,4011,
1009356,Salix Pharmaceuticals LTD,,Manufacturing,32,,,2834,
1009379,Metropolitan Health Networks Inc,,Health Care and Social Assistance,62,,,8011,
1009626,Brocade Communications Systems Inc,,Manufacturing,33,,,3576,3577
1009672,Carbo Ceramics Inc,,Manufacturing,32,,,3290,
1009759,Capstone Turbine Corp,,Manufacturing,33,,,3510,
1009829,Jakks Pacific Inc,,Manufacturing,33,,,3944,
1009891,AIR Industries Group,"AIR Industries Group, Inc.","Professional, Scientific, and Technical Services",54,,,3728,
1009925,"American Fiber Green Products, Inc.",,Manufacturing,32,,,3290,
1009976,Commercial Bancshares Inc \OH\,,Finance and Insurance,52,,,6022,
101001,"United AIR Lines, Inc.",United AIR Lines Inc,Transportation and Warehousing,48,,,4512,
1010086,Siga Technologies Inc,,Manufacturing,32,,,2834,
1010247,Fpic Insurance Group Inc,,Finance and Insurance,52,,,6331,
1010286,Fibertower Corp,,Information,51,,,4812,
1010470,Provident Financial Holdings Inc,,Finance and Insurance,52,,,6035,
1010552,Polycom Inc,,Manufacturing,33,,,3661,
1010566,China Longyi Group International Holdings LTD,,Other Services (except Public Administration),81,,,7389,
1010612,Sykes Enterprises Inc,,"Professional, Scientific, and Technical Services",54,,,7373,
101063,Chiquita Brands International Inc,,"Agriculture, Forestry, Fishing and Hunting",11,,,0100,
1010858,Fairmount Santrol Holdings Inc.,Fmsa Holdings Inc,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1400,
1011006,Yahoo Inc,,"Professional, Scientific, and Technical Services",54,,,7373,
1011060,Advansource Biomaterials Corp,,Manufacturing,33,,,3841,
1011064,Sunrise Senior Living Inc,,Health Care and Social Assistance,62,,,8050,
1011109,Acre Realty Investors Inc,Roberts Realty Investors Inc,Finance and Insurance,52,,,6798,
1011174,BRE Properties Inc /MD/,,Finance and Insurance,52,,,6798,
1011290,99 Cents Only Stores LLC,99 Cents Only Stores,Retail Trade,45,,,5331,
1011308,Footstar Inc,,Manufacturing,32,Retail Trade,44,2834,5661
1011395,Geospatial Corp,,Other Services (except Public Administration),81,,,7389,
1011432,Auxilio Inc,,Other Services (except Public Administration),81,,,7389,
1011452,"Medical Information Technology, Inc.",Medical Information Technology Inc,Information,51,,,7372,
1011509,Golden Minerals CO,,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1040,
1011570,Knoll Inc,,Manufacturing,33,,,2590,
1011657,Titanium Metals Corp,,Manufacturing,33,,,3341,
1011659,Mufg Americas Holdings Corp,Unionbancal Corp,Finance and Insurance,52,,,6021,
1011661,Ss&C Technologies Inc,,Information,51,,,7372,
1011662,Global Digital Solutions Inc,,Manufacturing,32,,,2844,
1011733,Trimol Group Inc.,Trimol Group Inc,Manufacturing,32,,,2750,
1011835,"Medivation, Inc.",,Manufacturing,32,,,2834,
101199,United Fire Group Inc,United Fire & Casualty CO,Finance and Insurance,52,,,6331,
1012019,Rush Enterprises Inc \TX\,,Retail Trade,44,,,5500,
1012100,Sealed AIR Corp/De,,Manufacturing,32,,,2820,2670
1012140,Onyx Pharmaceuticals Inc,,Manufacturing,32,,,2836,
1012271,Post Apartment Homes LP,,Real Estate and Rental and Leasing,53,,,6513,
1012477,Avadel Pharmaceuticals PLC,Flamel Technologies SA,Manufacturing,32,,,2834,
1012493,Ferrellgas Partners Finance Corp,,Retail Trade,45,,,5900,
1012569,"Energy Transfer, LP","Energy Transfer Partners, L.P.",Transportation and Warehousing,48,,,4922,
1012620,Genesee & Wyoming Inc,,Transportation and Warehousing,48,,,4011,
1012704,Drivetime Automotive Group Inc,,Retail Trade,44,,,5500,
1012771,FBL Financial Group Inc,,Finance and Insurance,52,,,6311,
101295,United Guardian Inc,,Manufacturing,32,,,2844,
1013237,Factset Research Systems Inc,,Information,51,,,7370,
1013238,Aradigm Corp,,Manufacturing,33,,,3845,
1013272,Norwood Financial Corp,,Finance and Insurance,52,,,6022,
1013453,"Valcom, Inc",,"Arts, Entertainment, and Recreation",71,,,7819,
1013462,Ansys Inc,,Information,51,,,7372,
1013488,BJS Restaurants Inc,,Accommodation and Food Services,72,,,5812,
1013554,Park Bancorp Inc,,Finance and Insurance,52,,,6035,
1013606,Endologix Inc /DE/,,Manufacturing,33,,,3841,
1013706,"Wilhelmina International, Inc.",,"Professional, Scientific, and Technical Services",54,,,8742,
1013796,TIB Financial Corp.,,Finance and Insurance,52,,,6022,
101382,UMB Financial Corp,,Finance and Insurance,52,,,6021,
1013844,Colonial Realty Limited Partnership,,Finance and Insurance,52,,,6798,
1013857,Pegasystems Inc,,Information,51,,,7374,
1013871,"NRG Energy, Inc.",,Utilities,22,,,4911,
1013880,Teletech Holdings Inc,,Administrative and Support and Waste Management and Remediation Services,56,,,7363,
101390,United Mortgage Trust,,Finance and Insurance,52,,,6798,
1013934,Strayer Education Inc,,Educational Services,61,,,8200,
1014041,SRI Surgical Express Inc,,Other Services (except Public Administration),81,,,7200,
1014052,"Digerati Technologies, Inc.",Atsi Communications Inc/De,Information,51,,,4813,
1014111,"Glassbridge Enterprises, Inc.",Imation Corp,Manufacturing,33,,,3695,
1014473,Verisign Inc/Ca,,"Professional, Scientific, and Technical Services",54,,,7371,
1014507,"Sirona Dental Systems, Inc.",,Manufacturing,33,,,3843,
101462,United Refining CO,,Manufacturing,32,,,2911,
1014653,Profile Technologies Inc,,Manufacturing,33,,,3559,
1014669,Sterling Chemicals Inc,,Manufacturing,32,,,2860,
1014672,Caliper Life Sciences Inc,,Manufacturing,33,,,3826,
1014739,"Bioscrip, Inc.",,Health Care and Social Assistance,62,Retail Trade,44,8082,5912
1014763,Amarillo Biosciences Inc,,Manufacturing,32,,,2834,
1015155,Charles & Colvard LTD,,Manufacturing,33,,,3910,
1015328,Wintrust Financial Corp,,Finance and Insurance,52,,,6022,
101538,United States Antimony Corp,,Manufacturing,33,,,3330,
1015383,"Ammo, Inc.",Retrospettiva Inc,Manufacturing,31,,,2330,
1015593,River Valley Bancorp,,Finance and Insurance,52,,,6035,
1015739,Aware Inc /MA/,,Information,51,Manufacturing,33,7372,3674
1015780,E Trade Financial Corp,,Finance and Insurance,52,,,6035,
1015789,"Proelite, Inc.",,"Arts, Entertainment, and Recreation",71,,,7900,
101594,US Energy Corp,,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1311,
1016125,Ultimate Software Group Inc,,Information,51,,,7372,
1016169,"Antares Pharma, Inc.",,Manufacturing,33,,,3841,
1016178,Carver Bancorp Inc,,Finance and Insurance,52,,,6035,
1016281,Carriage Services Inc,,Other Services (except Public Administration),81,,,7200,
1016470,SRS Labs Inc,,Real Estate and Rental and Leasing,53,,,6794,
1016504,Integrated Biopharma Inc,,Manufacturing,32,,,2834,
1016546,Altair Nanotechnologies Inc,,Manufacturing,32,,,2890,
1016708,"Renovacare, Inc.","Janus Resources, Inc.",Manufacturing,33,"Professional, Scientific, and Technical Services",54,3841,1382
1016900,"Applied Natural GAS Fuels, Inc.",,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1311,
1016951,"Tumbleweed Holdings, Inc.",Digital Creative Development Corp,,,,,6770,
1017110,Genethera Inc,,Manufacturing,32,,,2836,
1017290,Silver Dragon Resources Inc.,,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1040,
1017303,Transact Technologies Inc,,Manufacturing,33,,,3577,
1017480,Hibbett Sports Inc,,Retail Trade,45,,,5940,
1017491,"Apricus Biosciences, Inc.",,Manufacturing,32,,,2834,
1017616,"Tonner-One World Holdings, Inc.","ONE World Holdings, Inc.",Manufacturing,33,Administrative and Support and Waste Management and Remediation Services,56,3942,4953
1017655,Paid Inc,,Other Services (except Public Administration),81,,,7389,
1017673,Dover Motorsports Inc,,"Arts, Entertainment, and Recreation",71,,,7900,
1017699,"China Kangtai Cactus Bio-Tech, Inc.",,Manufacturing,32,,,2834,
1017712,HOT Topic Inc /CA/,,Retail Trade,44,,,5600,
101778,Marathon OIL Corp,,"Mining, Quarrying, and Oil and Gas Extraction",21,Manufacturing,32,1311,2911
1017793,SUN Bancorp Inc /NJ/,,Finance and Insurance,52,,,6029,
1017907,First Acceptance Corp /DE/,,Finance and Insurance,52,,,6331,
1017968,Edgewater Technology Inc/De/,,Information,51,,,7370,
1018003,Ingram Micro Inc,,Retail Trade,44,,,5045,
1018005,Coldwater Creek Inc,,Retail Trade,44,,,5621,
1018164,Willis Lease Finance Corp,,Wholesale Trade,42,,,5080,
101821,Canal Capital Corp,,"Arts, Entertainment, and Recreation",71,,,6512,
1018215,Wells Real Estate Fund X L P,,Real Estate and Rental and Leasing,53,,,6532,
1018216,Wells Real Estate Fund XI L P,,Real Estate and Rental and Leasing,53,,,6532,
1018254,United Dominion Realty L P,,Finance and Insurance,52,,,6798,
1018281,Integral Technologies Inc,,Manufacturing,33,,,3679,
101829,United Technologies Corp /DE/,,"Professional, Scientific, and Technical Services",54,,,3724,
101830,Sprint Corp,Sprint Nextel Corp,Information,51,,,4813,
1018332,"L-1 Identity Solutions, Inc.",,"Professional, Scientific, and Technical Services",54,,,7373,
1018336,Information Architects Corp,,Information,51,,,7372,
1018399,Enterprise Bancorp Inc /MA/,,Finance and Insurance,52,,,6022,
1018724,Amazon COM Inc,,Retail Trade,45,,,5961,
1018840,Abercrombie & Fitch CO /DE/,,Retail Trade,44,,,5651,
1018946,Steiner Leisure LTD,,Other Services (except Public Administration),81,,,7200,
1018963,Allegheny Technologies Inc,,Manufacturing,33,,,3317,
1018979,Amerisafe Inc,,Finance and Insurance,52,,,6331,
1019034,BIO KEY International Inc,,Manufacturing,33,,,3576,
1019216,"Newport Digital Technologies, Inc.",,Retail Trade,44,,,5141,
1019272,Empire Resources Inc /NEW/,,Wholesale Trade,42,,,5051,
1019361,Rofin Sinar Technologies Inc,,Manufacturing,33,,,3690,
1019542,Atel Capital Equipment Fund VII LP,,Administrative and Support and Waste Management and Remediation Services,56,,,7359,
1019650,Centrue Financial Corp,,Finance and Insurance,52,,,6021,
1019671,Seachange International Inc,,Manufacturing,33,,,3663,
1019695,Arqule Inc,,Manufacturing,32,,,2834,
1019737,Navigant Consulting Inc,,"Professional, Scientific, and Technical Services",54,,,8742,
1019787,Puradyn Filter Technologies Inc,,Manufacturing,33,,,3714,
101984,Universal Electronics Inc,,Manufacturing,33,,,3651,
1019849,"Penske Automotive Group, Inc.",,Retail Trade,44,,,5500,
1020017,INX Inc,,Retail Trade,44,,,5045,
1020214,Cerus Corp,,Manufacturing,33,,,3841,
1020302,"Internet Infinity, Inc.",,Retail Trade,45,,,5099,
1020347,Communitycorp,,Finance and Insurance,52,,,6021,
102037,Universal Corp /VA/,,Wholesale Trade,42,,,5150,
1020416,"Monster Worldwide, Inc.",Monster Worldwide Inc,Administrative and Support and Waste Management and Remediation Services,56,,,7363,
1020448,Imperial Petroleum Recovery Corp,,Manufacturing,33,,,3533,
1020475,"Grandparents.Com, Inc.","Norwestech, Inc.@@@Pacific Biomarkers, Inc.",Information,51,"Professional, Scientific, and Technical Services",54,7374,8731
1020477,"Rotate Black, Inc.",Rotate Black Inc,Accommodation and Food Services,72,Manufacturing,31,7011,2080
1020569,Iron Mountain Inc,,Finance and Insurance,52,Transportation and Warehousing,49,6798,4220
1020646,"ERF Wireless, Inc.",,Manufacturing,33,,,3669,
1020710,DXP Enterprises Inc,,Wholesale Trade,42,,,5084,
1020859,United Natural Foods Inc,,Retail Trade,44,,,5141,
102109,Universal Security Instruments Inc,,Retail Trade,44,,,5065,
1021096,"M2 Ngage Group, Inc.",Roomlinx Inc,Information,51,,,4841,
1021113,"Guitar Center, Inc.",,Retail Trade,44,,,5731,
1021162,Triumph Group Inc,,Manufacturing,33,,,3720,
1021270,Famous Daves OF America Inc,,Accommodation and Food Services,72,,,5812,
1021282,"Clean Slate, Inc.",,"Professional, Scientific, and Technical Services",54,,,8111,
1021422,"Eastern Light Capital, Inc.",,Finance and Insurance,52,,,6798,
1021435,Hopto Inc.,Graphon Corp/De,Information,51,,,7372,
1021561,NU Skin Enterprises Inc,,Retail Trade,44,,,5122,
1021604,ON Track Innovations LTD,,Manufacturing,33,,,3674,
1021635,OGE Energy Corp.,,Utilities,22,,,4911,
1021860,National Oilwell Varco Inc,,Manufacturing,33,,,3533,
1021917,"JV Group, Inc.","Aspi, Inc.","Arts, Entertainment, and Recreation",71,Manufacturing,33,6512,3578
102198,Calmare Therapeutics Inc,Competitive Technologies Inc,Manufacturing,33,Real Estate and Rental and Leasing,53,3841,6794
1022079,Quest Diagnostics Inc,,Health Care and Social Assistance,62,,,8071,
1022097,"Turbodyne Technologies, Inc",,Manufacturing,33,,,3714,
102212,Univest Corp OF Pennsylvania,,Finance and Insurance,52,,,6022,
1022225,Oplink Communications Inc,,Manufacturing,33,,,3661,
1022321,Genesis Energy LP,,Retail Trade,45,,,5171,
1022344,Simon Property Group L P /DE/,,Finance and Insurance,52,,,6798,
1022368,"Schiff Nutrition International, Inc.",,Wholesale Trade,42,,,5140,
1022408,Eplus Inc,,Retail Trade,44,,,5045,
1022469,Deltic Timber Corp,,Manufacturing,32,,,2421,
1022505,Cipherloc Corp,National Scientific Corp/Az,Information,51,Manufacturing,33,7374,3674
1022646,Ultra Petroleum Corp,,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1311,
1022652,Inseego Corp.,Novatel Wireless Inc,Manufacturing,33,,,3669,
1022671,Steel Dynamics Inc,,Manufacturing,33,,,3312,
1022701,Neomedia Technologies Inc,,"Professional, Scientific, and Technical Services",54,,,7373,
1022705,Tesco Corp,,Manufacturing,33,,,3533,
1022759,Cardinal Bankshares Corp,,Finance and Insurance,52,,,6022,
1022899,"Protagenic Therapeutics, Inc.\New","Atrinsic, Inc.",Other Services (except Public Administration),81,,,7389,
1023024,ANI Pharmaceuticals Inc,Biosante Pharmaceuticals Inc,Manufacturing,32,,,2834,2836
1023128,Lithia Motors Inc,,Retail Trade,44,,,5500,
1023131,Covance Inc,,"Professional, Scientific, and Technical Services",54,,,8731,
1023198,"Stemgen, Inc.",Amasys Corp,Finance and Insurance,52,,,6799,
1023291,Energy Future Holdings Corp /TX/,,Utilities,22,,,4911,
1023298,Alpha-En Corp,,"Arts, Entertainment, and Recreation",71,,,7819,
1023313,"Forrester Research, Inc.",Forrester Research Inc,"Professional, Scientific, and Technical Services",54,,,8700,
1023362,Powerwave Technologies Inc,,Manufacturing,33,,,3663,
1023364,Autobytel Inc,,Information,51,,,7370,
1023453,AIS Futures Fund IV LP,,Finance and Insurance,52,,,6221,
1023458,AEI Income & Growth Fund Xxii LTD Partnership,,Real Estate and Rental and Leasing,53,,,6500,
1023459,Simulations Plus Inc,,"Professional, Scientific, and Technical Services",54,,,7373,
1023731,8X8 Inc /DE/,,Information,51,,,4813,
1023734,"BPZ Resources, Inc.",,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1311,
102379,URS Corp /NEW/,,"Professional, Scientific, and Technical Services",54,,,8711,
1023844,National Holdings Corp,,Finance and Insurance,52,,,6200,
1023860,Stewardship Financial Corp,,Finance and Insurance,52,,,6022,
1023994,"SG Blocks, Inc.",Cdsi Holdings Inc,Wholesale Trade,42,,,5030,6770
1024022,Media Sciences International Inc,,Manufacturing,32,,,2890,
1024048,"Panacea Global, Inc.",Moneylogix Group Inc.,Health Care and Social Assistance,62,Other Services (except Public Administration),81,8071,6531
1024075,Power Efficiency Corp,,Manufacturing,33,,,3620,
1024126,"Pernix Therapeutics Holdings, Inc.",,Manufacturing,32,,,2834,
1024305,Coty Inc.,,Manufacturing,32,,,2844,
1024452,SMF Energy Corp,,Wholesale Trade,42,,,5172,
1024478,Rockwell Automation Inc,,Manufacturing,33,,,3829,
1024520,World Heart Corp,,Manufacturing,33,,,3845,
1024626,"Cannabis Science, Inc.",,Manufacturing,32,"Mining, Quarrying, and Oil and Gas Extraction",21,2834,1311
1024628,ZAP,,Manufacturing,33,,,3751,
1024657,West Corp,,Other Services (except Public Administration),81,,,7389,
1024725,Tenneco Inc,,Manufacturing,33,,,3714,
1024729,Amscan Holdings Inc,,Retail Trade,45,,,5900,
1024732,Igate Corp,,"Professional, Scientific, and Technical Services",54,,,7371,
1024795,SUN Hydraulics Corp,,Manufacturing,33,,,3490,
1024920,Fuelstream Inc,,Other Services (except Public Administration),81,,,7389,
1025315,24holdings Inc,,,,,,6770,
1025362,Golden Queen Mining CO LTD,,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1000,
1025378,W. P. Carey Inc.,Carey W P & CO LLC@@@W P Carey & CO LLC,Finance and Insurance,52,Real Estate and Rental and Leasing,53,6798,6500
10254,Earthstone Energy Inc,,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1311,
1025536,Taylor Capital Group Inc,,Finance and Insurance,52,,,6022,
1025771,Chase Packaging Corp,,"Agriculture, Forestry, Fishing and Hunting",11,,,0700,
1025835,Enterprise Financial Services Corp,,Finance and Insurance,52,,,6022,
1025877,DCB Financial Corp,,Finance and Insurance,52,,,6022,
102588,Sonomawest Holdings Inc,,Real Estate and Rental and Leasing,53,,,6519,
1025953,"Novation Companies, Inc.",Novastar Financial Inc,Other Services (except Public Administration),81,,,6531,
